Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Rat\Project Outputs for Pot Rat\Pick Place\Pick Place for Pot_Rat.csv

========================================================================================================================
File Design Information:

Date:       18/09/23
Time:       22:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","CAP","TopLayer","CAP_0603","6.5098","0.7288","0",""
"C2","CAP","TopLayer","CAP_0603","6.5098","2.3288","0",""
"D1","LED","TopLayer","LED_0805","15.5011","0.0013","0.00840854644775",""
"D2","LED","TopLayer","LED_0805","15.0130","-3.8547","345.599995613",""
"D3","LED","TopLayer","LED_0805","13.5828","-7.4672","331.200004578",""
"D4","LED","TopLayer","LED_0805","11.2990","-10.6105","316.799999237",""
"D5","LED","TopLayer","LED_0805","8.3053","-13.0871","302.399997711",""
"D6","LED","TopLayer","LED_0805","4.7898","-14.7414","288.000007629",""
"D7","LED","TopLayer","LED_0805","0.9733","-15.4694","273.599761963",""
"D8","LED","TopLayer","LED_0805","-2.9046","-15.2254","260.143",""
"D9","LED","TopLayer","LED_0805","-6.5955","-14.0263","248.401123047",""
"D10","LED","TopLayer","LED_0805","-9.8801","-11.9430","230.400009155",""
"D11","LED","TopLayer","LED_0805","-12.5181","-9.0909","215.803817749",""
"D12","LED","TopLayer","LED_0805","-14.4153","-5.7093","211.920776367",""
"D13","LED","TopLayer","LED_0805","-15.3778","-1.9427","187.199935913",""
"D14","LED","TopLayer","LED_0805","-15.3778","1.9427","172.800003052",""
"D15","LED","TopLayer","LED_0805","-14.4115","5.7059","158.400003509",""
"D16","LED","TopLayer","LED_0805","-12.5398","9.1107","144",""
"D17","LED","TopLayer","LED_0805","-9.8801","11.9430","129.599998889",""
"D18","LED","TopLayer","LED_0805","-6.5996","14.0248","115.199997749",""
"D19","LED","TopLayer","LED_0805","-2.9044","15.2255","100.800004253",""
"D20","LED","TopLayer","LED_0805","0.9733","15.4694","86.4000015259",""
"D21","LED","TopLayer","LED_0805","4.7898","14.7414","71.9999923706",""
"D22","LED","TopLayer","LED_0805","8.3053","13.0871","57.6000022888",""
"D23","LED","TopLayer","LED_0805","11.2389","10.6492","43.4566307068",""
"D24","LED","TopLayer","LED_0805","13.5819","7.4675","28.7954063416",""
"D25","LED","TopLayer","LED_0805","15.0130","3.8547","14.4000043869",""
"U1","IS31FL3728","TopLayer","QFN50P395X400X80_HS-25N","8.0000","-2.8000","180","8x8 IIC Led Driver"
